"","Ticker","Year","Revenue","Net.income","Total.assets"
"1","DAL",2005,"16480","−3836","20039"
"2","DAL",2006,"17532","−6205","19622"
"3","DAL",2007,"19154","1612","32423"
"4","DAL",2008,"22697","−8922","45084"
"5","DAL",2009,"28063","−1237","43789"
"6","DAL",2010,"31755","593","43188"
"7","DAL",2011,"35115","854","43499"
"8","DAL",2012,"36670","1009","44550"
"9","DAL",2013,"37773","10540","52252"
"10","DAL",2014,"40362","659","54005"
"11","DAL",2015,"40704","4526","53134"
"12","DAL",2016,"39639","4373","51850"
"13","DAL",2017,"41244","3577","53671"
"14","DAL",2018,"44438","3935","60266"
"15","DAL",2019,"47007","4767","64532"
"16","AAL",2005,"20712","−857","29495"
"17","AAL",2006,"22563","231","29145"
"18","AAL",2007,"22935","456","28571"
"19","AAL",2008,"23766","−2118","25175"
"20","AAL",2009,"19917","−1468","25438"
"21","AAL",2010,"22170","−471","25088"
"22","AAL",2011,"23979","−1979","23848"
"23","AAL",2012,"24855","−1876","23510"
"24","AAL",2013,"26743","−1834","42278"
"25","AAL",2014,"42650","2882","43225"
"26","AAL",2015,"40990","7610","48415"
"27","AAL",2016,"40180","2584","53610"
"28","AAL",2017,"42207","1282","52785"
"29","AAL",2018,"44541","1412","60580"
"30","AAL",2019,"45768","1686","59995"
"31","UAL",2011,"37110","837","37988"
"32","UAL",2012,"37152","−723","37628"
"33","UAL",2013,"38279","571","36812"
"34","UAL",2014,"38901","1132","36595"
"35","UAL",2015,"37864","7340","40861"
"36","UAL",2016,"36558","2234","40208"
"37","UAL",2017,"37784","2143","47469"
"38","UAL",2018,"41303","2122","49024"
"39","UAL",2019,"43259","3009","52611"
"40","LUV",2015,"19820","2181","21312"
"41","LUV",2016,"20289","2183","23286"
"42","LUV",2017,"21146","3357","25110"
"43","LUV",2018,"21965","2465","26243"
"44","LUV",2019,"22428","2300","25895"
