,confirmed,deaths,confirmed_inc,confirmed_inc_rate,deaths_inc,deaths_inc_rate
2020-01-21,1,0,1,1.0,0,0.0
2020-01-22,1,0,0,0.0,0,0.0
2020-01-23,2,0,1,2.0,0,0.0
2020-01-24,2,0,0,0.0,0,0.0
2020-01-25,5,0,3,5.0,0,0.0
2020-01-26,5,0,0,0.0,0,0.0
2020-01-27,5,0,0,5.0,0,0.0
2020-01-28,5,0,0,5.0,0,0.0
2020-01-29,5,0,0,5.0,0,0.0
2020-01-30,7,0,2,7.0,0,0.0
2020-01-31,8,0,1,0.5,0,0.0
2020-02-01,8,0,0,0.0,0,0.0
2020-02-02,11,0,3,11.0,0,0.0
2020-02-03,11,0,0,0.0,0,0.0
2020-02-04,11,0,0,11.0,0,0.0
2020-02-05,11,0,0,11.0,0,0.0
2020-02-06,11,0,0,11.0,0,0.0
2020-02-07,11,0,0,11.0,0,0.0
2020-02-08,11,0,0,11.0,0,0.0
2020-02-09,11,0,0,11.0,0,0.0
2020-02-10,12,0,1,12.0,0,0.0
2020-02-11,12,0,0,0.0,0,0.0
2020-02-12,13,0,1,13.0,0,0.0
2020-02-13,13,0,0,0.0,0,0.0
2020-02-14,13,0,0,13.0,0,0.0
2020-02-15,13,0,0,13.0,0,0.0
2020-02-16,13,0,0,13.0,0,0.0
2020-02-17,13,0,0,13.0,0,0.0
2020-02-18,13,0,0,13.0,0,0.0
2020-02-19,13,0,0,13.0,0,0.0
2020-02-20,15,0,2,15.0,0,0.0
2020-02-21,15,0,0,0.0,0,0.0
2020-02-22,15,0,0,15.0,0,0.0
2020-02-23,51,0,36,51.0,0,0.0
2020-02-24,51,0,0,0.0,0,0.0
2020-02-25,57,0,6,57.0,0,0.0
2020-02-26,58,0,1,0.16666666666666666,0,0.0
2020-02-27,60,0,2,2.0,0,0.0
2020-02-28,68,1,8,4.0,1,1.0
2020-02-29,74,1,6,0.75,0,0.0
2020-03-01,98,6,24,4.0,5,6.0
2020-03-02,118,7,20,0.8333333333333334,1,0.2
2020-03-03,149,11,31,1.55,4,4.0
2020-03-04,217,12,68,2.193548387096774,1,0.25
2020-03-05,262,14,45,0.6617647058823529,2,2.0
2020-03-06,402,17,140,3.111111111111111,3,1.5
2020-03-07,518,21,116,0.8285714285714286,4,1.3333333333333333
2020-03-08,583,22,65,0.5603448275862069,1,0.25
2020-03-09,959,28,376,5.7846153846153845,6,6.0
2020-03-10,1281,36,322,0.8563829787234043,8,1.3333333333333333
2020-03-11,1663,41,382,1.186335403726708,5,0.625
2020-03-12,2179,49,516,1.350785340314136,8,1.6
2020-03-13,2727,58,548,1.062015503875969,9,1.125
2020-03-14,3499,73,772,1.4087591240875912,15,1.6666666666666667
2020-03-15,4632,99,1133,1.467616580310881,26,1.7333333333333334
2020-03-16,6421,133,1789,1.5789938217122683,34,1.3076923076923077
2020-03-17,7783,164,1362,0.7613191727221912,31,0.9117647058823529
2020-03-18,13747,258,5964,4.378854625550661,94,3.032258064516129
2020-03-19,19273,349,5526,0.9265593561368209,91,0.9680851063829787
2020-03-20,25600,442,6327,1.1449511400651466,93,1.021978021978022
2020-03-21,33276,586,7676,1.2132132132132132,144,1.5483870967741935
2020-03-22,43843,786,10567,1.376628452318916,200,1.3888888888888888
2020-03-23,53736,1008,9893,0.9362165231380714,222,1.11
2020-03-24,65778,1316,12042,1.2172243000101082,308,1.3873873873873874
2020-03-25,83836,1726,18058,1.4995847865803023,410,1.3311688311688312
2020-03-26,101657,2265,17821,0.9868756229925795,539,1.3146341463414635
2020-03-27,121465,2731,19808,1.1114976712866842,466,0.8645640074211502
2020-03-28,140909,3420,19444,0.9816235864297254,689,1.4785407725321889
2020-03-29,161831,4192,20922,1.0760131660152232,772,1.1204644412191582
2020-03-30,188172,5367,26341,1.2590096549087086,1175,1.5220207253886011
2020-03-31,213242,6501,25070,0.9517482252002581,1134,0.9651063829787234
2020-04-01,243622,7921,30380,1.211806940566414,1420,1.252204585537919
2020-04-02,275367,9246,31745,1.044930875576037,1325,0.9330985915492958
2020-04-03,308650,10855,33283,1.0484485745786738,1609,1.2143396226415095
2020-04-04,336802,12375,28152,0.845837214193432,1520,0.944686140459913
2020-04-05,366317,13894,29515,1.0484157431088377,1519,0.9993421052631579
2020-04-06,397121,16191,30804,1.0436727087921396,2297,1.5121790651744569
2020-04-07,428654,18270,31533,1.023665757693806,2079,0.9050936003482803
2020-04-08,462780,20255,34126,1.0822313132274126,1985,0.9547859547859547
2020-04-09,496535,22333,33755,0.989128523706265,2078,1.0468513853904282
2020-04-10,526396,24342,29861,0.8846393126944156,2009,0.9667949951876804
2020-04-11,555313,26086,28917,0.9683868591138943,1744,0.8680935788949726
2020-04-12,580619,27870,25306,0.8751253587854895,1784,1.0229357798165137
2020-04-13,607670,30262,27051,1.0689559788192524,2392,1.3408071748878925
2020-04-14,636350,32734,28680,1.0602195852279028,2472,1.0334448160535117
2020-04-15,667592,34827,31242,1.0893305439330543,2093,0.8466828478964401
2020-04-16,699706,37411,32114,1.0279111452531848,2584,1.2345914954610606
2020-04-17,732197,39753,32491,1.0117394282867285,2342,0.9063467492260062
2020-04-18,758809,40945,26612,0.8190575851774338,1192,0.5089666951323655
2020-04-19,784326,42659,25517,0.9588531489553584,1714,1.4379194630872483
2020-04-20,811865,45086,27539,1.079241290120312,2427,1.4159859976662776
2020-04-21,840351,47412,28486,1.034387595773267,2326,0.9583848372476308
2020-04-22,869170,49724,28819,1.0116899529593484,2312,0.9939810834049871
2020-04-23,905358,51493,36188,1.2556993650022554,1769,0.7651384083044983
2020-04-24,938154,53755,32796,0.9062672709185365,2262,1.278688524590164
2020-04-25,965785,54881,27631,0.8425112818636419,1126,0.497789566755084
2020-04-26,988197,56219,22412,0.8111179472331801,1338,1.1882770870337478
2020-04-27,1012582,58355,24385,1.088033196501874,2136,1.5964125560538116
2020-04-28,1039909,60967,27327,1.120647939306951,2612,1.2228464419475655
2020-04-29,1069424,62996,29515,1.0800673326746442,2029,0.7767993874425727
2020-04-30,1103461,64943,34037,1.1532102320853803,1947,0.9595860029571217
2020-05-01,1132539,66369,29078,0.8543056086024032,1426,0.7324088341037494
2020-05-02,1158040,67682,25501,0.8769860375541647,1313,0.9207573632538569
2020-05-03,1180375,68922,22335,0.8758480059605506,1240,0.9444021325209444
2020-05-04,1204351,71064,23976,1.073472128945601,2142,1.7274193548387098
2020-05-05,1229331,73455,24980,1.0418752085418752,2391,1.1162464985994398
2020-05-06,1257023,75662,27692,1.1085668534827862,2207,0.9230447511501464
2020-05-07,1283929,77180,26906,0.9716163512927921,1518,0.6878115088355233
2020-05-08,1309550,78795,25621,0.9522411358061399,1615,1.0638998682476943
